Image,Current,Uncertainty,Angle,Uncertainty2
IMG_5468,0,0.01,1.1599999999999999,0.01
IMG_5469,0.25,0.01,7.5599999999999996,0.01
IMG_5470,0.39000000000000001,0.01,10.4,0.01
IMG_5471,0.70999999999999996,0.01,13.640000000000001,0.01
IMG_5472,0.81000000000000005,0.01,14.27,0.01
IMG_5473,1.03,0.01,15.23,0.01
IMG_5474,1.21,0.01,15.59,0.01
IMG_5475,1.46,0.01,16.75,0.01
IMG_5476,0,0.01,1.8200000000000001,0.01
IMG_5477,0.22,0.01,8.5899999999999999,0.01
IMG_5478,0.40999999999999998,0.01,10.23,0.01
IMG_5480,0.63,0.01,13.44,0.01
IMG_5481,0.82999999999999996,0.01,14.08,0.01
IMG_5482,1.1000000000000001,0.01,16.859999999999999,0.01
IMG_5483,1.26,0.01,17.109999999999999,0.01
IMG_5484,1.4299999999999999,0.01,18.579999999999998,0.01
IMG_5485,0,0.01,1.6899999999999999,0.01
IMG_5486,0.23000000000000001,0.01,8.1999999999999993,0.01
IMG_5487,0.53000000000000003,0.01,12.23,0.01
IMG_5488,0.71999999999999997,0.01,14.109999999999999,0.01
IMG_5489,0.79000000000000004,0.01,14.73,0.01
IMG_5490,1.05,0.01,16.550000000000001,0.01
IMG_5491,1.2,0.01,17.120000000000001,0.01
IMG_5492,1.53,0.01,18.739999999999998,0.01
IMG_5493,0,0.01,1.6899999999999999,0.01
IMG_5494,0.19,0.01,7.4000000000000004,0.01
IMG_5495,0.35999999999999999,0.01,9.9000000000000004,0.01
IMG_5496,0.56000000000000005,0.01,12.32,0.01
IMG_5497,0.79000000000000004,0.01,14.630000000000001,0.01
IMG_5499,1.1299999999999999,0.01,16.98,0.01
IMG_5500,1.3600000000000001,0.01,17.59,0.01
IMG_5501,1.52,0.01,19.02,0.01
IMG_5502,0,0.01,1.6899999999999999,0.01
IMG_5504,0.23000000000000001,0.01,7.71,0.01
IMG_5505,0.40000000000000002,0.01,10.800000000000001,0.01
IMG_5506,0.56999999999999995,0.01,12.77,0.01
IMG_5507,0.80000000000000004,0.01,14.92,0.01
IMG_5508,1.1100000000000001,0.01,17.149999999999999,0.01
IMG_5509,1.26,0.01,17.77,0.01
IMG_5510,1.4399999999999999,0.01,18.02,0.01
